,Model,AIC,BIC,RMSE,MAPE
0,"((0, 0, 0), (0, 0, 0, 12), 'n')",5189.757043566385,5193.515945340262,1031.628106320296,1.0
1,"((0, 0, 0), (0, 0, 0, 12), 'c')",4061.325950510542,4068.843754058297,198.30716325081193,0.16201222206986277
2,"((0, 0, 0), (0, 0, 0, 12), 't')",4577.695642080358,4585.213445628113,553.3566241874612,0.5350419239719992
3,"((0, 0, 0), (0, 0, 0, 12), 'ct')",3645.7203537664564,3656.997059088088,138.02051143516272,0.11811464425685607
4,"((0, 0, 0), (0, 0, 0, 12), poly1d([1, 0, 0]))",4061.325950510542,4068.843754058297,198.30716325081193,0.16201222206986277
5,"((0, 0, 0), (0, 0, 0, 12), poly1d([1, 0, 1]))",3736.7872428391092,3748.063948160741,224.466733993704,0.20130027348539437
6,"((0, 0, 0), (0, 0, 0, 12), poly1d([1, 1, 0]))",3645.7203537664564,3656.997059088088,138.02051143516272,0.11811464425685607
7,"((0, 0, 0), (0, 0, 0, 12), poly1d([1, 1, 1]))",3634.341753386068,3649.377360481577,101.20737306089752,0.08668728931815631
8,"((0, 0, 0), (0, 0, 0, 12), poly1d([1, 0, 0, 0]))",4061.325950510542,4068.843754058297,198.30716325081193,0.16201222206986277
9,"((0, 0, 0), (0, 0, 0, 12), poly1d([1, 0, 0, 1]))",3812.5507859069776,3823.8274912286092,308.05188977066325,0.27902955537832097
10,"((0, 0, 0), (0, 0, 0, 12), poly1d([1, 0, 1, 0]))",3736.7872428391092,3748.063948160741,224.466733993704,0.20130027348539437
11,"((0, 0, 0), (0, 0, 0, 12), poly1d([1, 0, 1, 1]))",3641.5757799318044,3656.6113870273134,150.54010494119393,0.1104558311729903
12,"((0, 0, 0), (0, 0, 0, 12), poly1d([1, 1, 0, 0]))",3645.7203537664564,3656.997059088088,138.02051143516272,0.11811464425685607
13,"((0, 0, 0), (0, 0, 0, 12), poly1d([1, 1, 0, 1]))",3632.854493581054,3647.890100676563,95.91021333681533,0.07947619950084377
14,"((0, 0, 0), (0, 0, 0, 12), poly1d([1, 1, 1, 0]))",3634.341753386068,3649.377360481577,101.20737306089752,0.08668728931815631
15,"((0, 0, 0), (0, 0, 0, 12), poly1d([1, 1, 1, 1]))",3634.1064445020907,3652.900953371477,99.70648623528098,0.07856318268530418
16,"((0, 0, 0), (0, 0, 0, 12), poly1d([1, 0, 0, 0, 0]))",4061.325950510542,4068.843754058297,198.30716325081193,0.16201222206986277
17,"((0, 0, 0), (0, 0, 0, 12), poly1d([1, 0, 0, 0, 1]))",4063.067707552636,4074.3444128742676,198.7249986725777,0.16280321801052067
18,"((0, 0, 0), (0, 0, 0, 12), poly1d([1, 0, 0, 1, 0]))",3812.5507859069776,3823.8274912286092,308.05188977066325,0.27902955537832097
19,"((0, 0, 0), (0, 0, 0, 12), poly1d([1, 0, 0, 1, 1]))",3809.8893454451913,3824.9249525407004,308.1195882437207,0.278692972850901
20,"((0, 0, 0), (0, 0, 0, 12), poly1d([1, 0, 1, 0, 0]))",3736.7872428391092,3748.063948160741,224.466733993704,0.20130027348539437
21,"((0, 0, 0), (0, 0, 0, 12), poly1d([1, 0, 1, 0, 1]))",3735.312089041844,3750.347696137353,220.54464724842575,0.19655869820712554
22,"((0, 0, 0), (0, 0, 0, 12), poly1d([1, 0, 1, 1, 0]))",3641.5757799318044,3656.6113870273134,150.54010494119393,0.1104558311729903
23,"((0, 0, 0), (0, 0, 0, 12), poly1d([1, 0, 1, 1, 1]))",3643.567116048855,3662.3616249182414,150.50303499840686,0.11042130420875576
24,"((0, 0, 0), (0, 0, 0, 12), poly1d([1, 1, 0, 0, 0]))",3645.7203537664564,3656.997059088088,138.02051143516272,0.11811464425685607
25,"((0, 0, 0), (0, 0, 0, 12), poly1d([1, 1, 0, 0, 1]))",3647.4396768417646,3662.4752839372736,136.68276045118614,0.11678847352639601
26,"((0, 0, 0), (0, 0, 0, 12), poly1d([1, 1, 0, 1, 0]))",3632.854493581054,3647.890100676563,95.91021333681533,0.07947619950084377
27,"((0, 0, 0), (0, 0, 0, 12), poly1d([1, 1, 0, 1, 1]))",3635.086390505233,3653.8808993746193,96.25872732241187,0.0794078000604632
28,"((0, 0, 0), (0, 0, 0, 12), poly1d([1, 1, 1, 0, 0]))",3634.341753386068,3649.377360481577,101.20737306089752,0.08668728931815631
29,"((0, 0, 0), (0, 0, 0, 12), poly1d([1, 1, 1, 0, 1]))",3636.6166050960455,3655.411113965432,100.7483582270065,0.08609580520605206
30,"((0, 0, 0), (0, 0, 0, 12), poly1d([1, 1, 1, 1, 0]))",3634.1064445020907,3652.900953371477,99.70648623528098,0.07856318268530418
31,"((0, 0, 0), (0, 0, 0, 12), poly1d([1, 1, 1, 1, 1]))",3636.3173850703006,3658.8707957135643,100.07966021699148,0.07898647131642181
32,"((0, 0, 0), (0, 0, 1, 12), 'n')",4806.547141337563,4814.064944885317,972.6580084379226,0.9221477008699314
33,"((0, 0, 0), (0, 0, 1, 12), 'c')",3758.853314378973,3770.130019700605,188.16801055508688,0.14869503481857121
34,"((0, 0, 0), (0, 0, 1, 12), 't')",4223.483297075789,4234.760002397421,519.8300817904321,0.49239622933451255
35,"((0, 0, 0), (0, 0, 1, 12), 'ct')",3412.7869629646675,3427.8225700601765,133.81554797866696,0.11290831729716178
36,"((0, 0, 0), (0, 0, 1, 12), poly1d([1, 0, 0]))",3758.853314378973,3770.130019700605,188.16801055508688,0.14869503481857121
37,"((0, 0, 0), (0, 0, 1, 12), poly1d([1, 0, 1]))",3573.776221458117,3588.811828553626,214.86859700598689,0.19039835710175818
