,Model,AIC,BIC,RMSE,MAPE
0,"((0, 0, 0), (0, 0, 0, 12), 'n')",2915.6242430112598,2919.383144785137,25.50124996936425,1.0
1,"((0, 0, 0), (0, 0, 0, 12), 'c')",1918.524289472526,1926.0420930202806,4.712662028587987,0.1638597180008167
2,"((0, 0, 0), (0, 0, 0, 12), 't')",2508.3464027234395,2515.8642062711942,15.086368418992313,0.633008288056035
3,"((0, 0, 0), (0, 0, 0, 12), 'ct')",1919.8322063320095,1931.1089116536414,4.521070842881412,0.15805978221684774
4,"((0, 0, 0), (0, 0, 0, 12), poly1d([1, 0, 0]))",1918.524289472526,1926.0420930202806,4.712662028587987,0.1638597180008167
5,"((0, 0, 0), (0, 0, 0, 12), poly1d([1, 0, 1]))",1919.0569149209448,1930.3336202425767,5.295075411886247,0.1824589297866508
6,"((0, 0, 0), (0, 0, 0, 12), poly1d([1, 1, 0]))",1919.8322063320095,1931.1089116536414,4.521070842881412,0.15805978221684774
7,"((0, 0, 0), (0, 0, 0, 12), poly1d([1, 1, 1]))",1849.4295134050687,1864.4651205005778,12.460320821482478,0.41551617097047366
8,"((0, 0, 0), (0, 0, 0, 12), poly1d([1, 0, 0, 0]))",1918.524289472526,1926.0420930202806,4.712662028587987,0.1638597180008167
9,"((0, 0, 0), (0, 0, 0, 12), poly1d([1, 0, 0, 1]))",1915.1575413495268,1926.4342466711587,6.5019353115412155,0.22199099146860898
10,"((0, 0, 0), (0, 0, 0, 12), poly1d([1, 0, 1, 0]))",1919.0569149209448,1930.3336202425767,5.295075411886247,0.1824589297866508
11,"((0, 0, 0), (0, 0, 0, 12), poly1d([1, 0, 1, 1]))",1872.759615099123,1887.795222194632,17.21802063808985,0.5677091569452398
12,"((0, 0, 0), (0, 0, 0, 12), poly1d([1, 1, 0, 0]))",1919.8322063320095,1931.1089116536414,4.521070842881412,0.15805978221684774
13,"((0, 0, 0), (0, 0, 0, 12), poly1d([1, 1, 0, 1]))",1856.8392578690552,1871.8748649645643,14.960040270146044,0.4954834115445944
14,"((0, 0, 0), (0, 0, 0, 12), poly1d([1, 1, 1, 0]))",1849.4295134050687,1864.4651205005778,12.460320821482478,0.41551617097047366
15,"((0, 0, 0), (0, 0, 0, 12), poly1d([1, 1, 1, 1]))",1848.2469446241612,1867.0414534935476,8.475227708085168,0.28908400706773196
16,"((0, 0, 0), (0, 0, 0, 12), poly1d([1, 0, 0, 0, 0]))",1918.524289472526,1926.0420930202806,4.712662028587987,0.1638597180008167
17,"((0, 0, 0), (0, 0, 0, 12), poly1d([1, 0, 0, 0, 1]))",1913.1251639158431,1924.401869237475,5.07603871592833,0.17350132441593077
18,"((0, 0, 0), (0, 0, 0, 12), poly1d([1, 0, 0, 1, 0]))",1915.1575413495268,1926.4342466711587,6.5019353115412155,0.22199099146860898
19,"((0, 0, 0), (0, 0, 0, 12), poly1d([1, 0, 0, 1, 1]))",1910.511523174595,1925.547130270104,6.67765945431465,0.22201915105178638
20,"((0, 0, 0), (0, 0, 0, 12), poly1d([1, 0, 1, 0, 0]))",1919.0569149209448,1930.3336202425767,5.295075411886247,0.1824589297866508
21,"((0, 0, 0), (0, 0, 0, 12), poly1d([1, 0, 1, 0, 1]))",1913.906469738317,1928.942076833826,5.586177068662186,0.18796051746117465
22,"((0, 0, 0), (0, 0, 0, 12), poly1d([1, 0, 1, 1, 0]))",1872.759615099123,1887.795222194632,17.21802063808985,0.5677091569452398
23,"((0, 0, 0), (0, 0, 0, 12), poly1d([1, 0, 1, 1, 1]))",1872.0730119014238,1890.8675207708102,16.770672710149633,0.5508114772531407
24,"((0, 0, 0), (0, 0, 0, 12), poly1d([1, 1, 0, 0, 0]))",1919.8322063320095,1931.1089116536414,4.521070842881412,0.15805978221684774
25,"((0, 0, 0), (0, 0, 0, 12), poly1d([1, 1, 0, 0, 1]))",1914.4499183297048,1929.4855254252138,4.886180493534648,0.1684498417221631
