,Model,AIC,BIC,RMSE,MAPE
0,"((0, 0, 0), (0, 0, 0, 12), 'n')",4846.308196818846,4850.067098592724,500.61146411164015,1.0
1,"((0, 0, 0), (0, 0, 0, 12), 'c')",4038.865684681157,4046.3834882289116,102.71011820940106,0.18743967795466016
2,"((0, 0, 0), (0, 0, 0, 12), 't')",4380.321361779421,4387.839165327176,390.548654819583,0.8623018309797399
3,"((0, 0, 0), (0, 0, 0, 12), 'ct')",4002.2347336192083,4013.51143894084,141.19249052316704,0.2914810820398971
4,"((0, 0, 0), (0, 0, 0, 12), poly1d([1, 0, 0]))",4038.865684681157,4046.3834882289116,102.71011820940106,0.18743967795466016
5,"((0, 0, 0), (0, 0, 0, 12), poly1d([1, 0, 1]))",3982.9349871036866,3994.2116924253182,203.72969371392523,0.4342217493707115
6,"((0, 0, 0), (0, 0, 0, 12), poly1d([1, 1, 0]))",4002.2347336192083,4013.51143894084,141.19249052316704,0.2914810820398971
7,"((0, 0, 0), (0, 0, 0, 12), poly1d([1, 1, 1]))",3964.688428011086,3979.7240351065952,310.9416981872453,0.675511098669126
8,"((0, 0, 0), (0, 0, 0, 12), poly1d([1, 0, 0, 0]))",4038.865684681157,4046.3834882289116,102.71011820940106,0.18743967795466016
9,"((0, 0, 0), (0, 0, 0, 12), poly1d([1, 0, 0, 1]))",3979.5723196104295,3990.849024932061,265.3245723866318,0.5727139579917427
10,"((0, 0, 0), (0, 0, 0, 12), poly1d([1, 0, 1, 0]))",3982.9349871036866,3994.2116924253182,203.72969371392523,0.4342217493707115
11,"((0, 0, 0), (0, 0, 0, 12), poly1d([1, 0, 1, 1]))",3981.2597090274835,3996.2953161229925,290.6424638431411,0.6274986311036816
12,"((0, 0, 0), (0, 0, 0, 12), poly1d([1, 1, 0, 0]))",4002.2347336192083,4013.51143894084,141.19249052316704,0.2914810820398971
13,"((0, 0, 0), (0, 0, 0, 12), poly1d([1, 1, 0, 1]))",3976.5863869336454,3991.6219940291544,332.2949870740328,0.7171028383095086
14,"((0, 0, 0), (0, 0, 0, 12), poly1d([1, 1, 1, 0]))",3964.688428011086,3979.7240351065952,310.9416981872453,0.675511098669126
15,"((0, 0, 0), (0, 0, 0, 12), poly1d([1, 1, 1, 1]))",3934.868960479526,3953.6634693489123,141.6278232835723,0.23270947497342487
16,"((0, 0, 0), (0, 0, 0, 12), poly1d([1, 0, 0, 0, 0]))",4038.865684681157,4046.3834882289116,102.71011820940106,0.18743967795466016
17,"((0, 0, 0), (0, 0, 0, 12), poly1d([1, 0, 0, 0, 1]))",4033.6455221849856,4044.922227506617,114.96740580686868,0.2126430948009725
18,"((0, 0, 0), (0, 0, 0, 12), poly1d([1, 0, 0, 1, 0]))",3979.5723196104295,3990.849024932061,265.3245723866318,0.5727139579917427
19,"((0, 0, 0), (0, 0, 0, 12), poly1d([1, 0, 0, 1, 1]))",3975.9725141873873,3991.0081212828964,268.94133435746863,0.5759842835485118
20,"((0, 0, 0), (0, 0, 0, 12), poly1d([1, 0, 1, 0, 0]))",3982.9349871036866,3994.2116924253182,203.72969371392523,0.4342217493707115
21,"((0, 0, 0), (0, 0, 0, 12), poly1d([1, 0, 1, 0, 1]))",3978.223858413932,3993.259465509441,210.38150890566743,0.44157376379560026
22,"((0, 0, 0), (0, 0, 0, 12), poly1d([1, 0, 1, 1, 0]))",3981.2597090274835,3996.2953161229925,290.6424638431411,0.6274986311036816
23,"((0, 0, 0), (0, 0, 0, 12), poly1d([1, 0, 1, 1, 1]))",3977.943540377839,3996.7380492472253,278.9678144770728,0.5982479518979188
24,"((0, 0, 0), (0, 0, 0, 12), poly1d([1, 1, 0, 0, 0]))",4002.2347336192083,4013.51143894084,141.19249052316704,0.2914810820398971
25,"((0, 0, 0), (0, 0, 0, 12), poly1d([1, 1, 0, 0, 1]))",3995.785523986556,4010.821131082065,154.17734256441037,0.31291539806123786
26,"((0, 0, 0), (0, 0, 0, 12), poly1d([1, 1, 0, 1, 0]))",3976.5863869336454,3991.6219940291544,332.2949870740328,0.7171028383095086
27,"((0, 0, 0), (0, 0, 0, 12), poly1d([1, 1, 0, 1, 1]))",3974.5808427256984,3993.375351595085,323.6112576214283,0.6964308059472383
28,"((0, 0, 0), (0, 0, 0, 12), poly1d([1, 1, 1, 0, 0]))",3964.688428011086,3979.7240351065952,310.9416981872453,0.675511098669126
29,"((0, 0, 0), (0, 0, 0, 12), poly1d([1, 1, 1, 0, 1]))",3963.52570355091,3982.3202124202962,303.88622562049784,0.6576120101733149
30,"((0, 0, 0), (0, 0, 0, 12), poly1d([1, 1, 1, 1, 0]))",3934.868960479526,3953.6634693489123,141.6278232835723,0.23270947497342487
